ID	lgth	out	in	long_cov	short1_cov	short1_Ocov	short2_cov	short2_Ocov	long_nb	short1_nb	short2_nb
1297	3	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1298	1	4	3	0.000000	96.000000	15.000000	0.000000	0.000000	0	0	0
1299	2	1	1	0.000000	14.500000	14.500000	0.000000	0.000000	0	0	0
1300	2	2	2	0.000000	15.000000	15.000000	0.000000	0.000000	0	0	0
1301	1	2	1	0.000000	4.000000	4.000000	0.000000	0.000000	0	0	0
1302	2	1	1	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
1303	1	3	3	0.000000	81.000000	6.000000	0.000000	0.000000	0	0	0
1304	3	2	2	0.000000	13.333333	7.333333	0.000000	0.000000	0	0	0
1305	302	0	0	0.000000	1.291391	1.291391	0.000000	0.000000	0	0	0
1306	130	0	0	0.000000	1.238462	1.238462	0.000000	0.000000	0	0	0
1307	10	1	1	0.000000	2.100000	2.100000	0.000000	0.000000	0	0	0
1308	5	2	2	0.000000	3.000000	3.000000	0.000000	0.000000	0	0	0
1309	5	1	1	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1310	0	9	5	Inf	Inf	Inf	Inf	Inf	0	0	0
1311	1	3	2	0.000000	72.000000	18.000000	0.000000	0.000000	0	0	0
1312	1	2	1	0.000000	68.000000	17.000000	0.000000	0.000000	0	0	0
1313	1	2	3	0.000000	44.000000	10.000000	0.000000	0.000000	0	0	0
1314	2	1	2	0.000000	45.500000	6.500000	0.000000	0.000000	0	0	0
1315	1	1	3	0.000000	49.000000	7.000000	0.000000	0.000000	0	0	0
1316	84	0	1	0.000000	1.869048	1.869048	0.000000	0.000000	0	0	0
1317	63	1	0	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1318	1	1	2	0.000000	73.000000	17.000000	0.000000	0.000000	0	0	0
1319	179	0	0	0.000000	1.893855	1.893855	0.000000	0.000000	0	0	0
1320	130	0	0	0.000000	2.184615	2.184615	0.000000	0.000000	0	0	0
1321	1	3	2	0.000000	64.000000	3.000000	0.000000	0.000000	0	0	0
1322	1	1	1	0.000000	108.000000	18.000000	0.000000	0.000000	0	0	0
1323	2	2	2	0.000000	19.000000	5.000000	0.000000	0.000000	0	0	0
1324	1	2	3	0.000000	86.000000	21.000000	0.000000	0.000000	0	0	0
1325	1	4	1	0.000000	84.000000	23.000000	0.000000	0.000000	0	0	0
1326	1	5	1	0.000000	80.000000	22.000000	0.000000	0.000000	0	0	0
1327	2	4	1	0.000000	73.500000	21.500000	0.000000	0.000000	0	0	0
1328	31	2	1	0.000000	1.032258	1.032258	0.000000	0.000000	0	0	0
1329	12	1	1	0.000000	1.000000	1.000000	0.000000	0.000000	0	0	0
1330	3	1	2	0.000000	2.000000	2.000000	0.000000	0.000000	0	0	0
1331	1	2	4	0.000000	54.000000	6.000000	0.000000	0.000000	0	0	0
1332	1	1	2	0.000000	12.000000	11.000000	0.000000	0.000000	0	0	0
1333	1	1	2	0.000000	15.000000	14.000000	0.000000	0.000000	0	0	0
1334	3	2	2	0.000000	16.666667	14.666667	0.000000	0.000000	0	0	0
1335	2	2	2	0.000000	15.500000	11.500000	0.000000	0.000000	0	0	0
1336	1	1	1	0.000000	14.000000	11.000000	0.000000	0.000000	0	0	0
1337	1	3	1	0.000000	78.000000	17.000000	0.000000	0.000000	0	0	0
