"MCL1.DG_BC2CTUACXX_ACTTGA_L002_R1","MCL1.DH_BC2CTUACXX_CAGATC_L002_R1","MCL1.DI_BC2CTUACXX_ACAGTG_L002_R1","MCL1.DJ_BC2CTUACXX_CGATGT_L002_R1","MCL1.DK_BC2CTUACXX_TTAGGC_L002_R1","MCL1.DL_BC2CTUACXX_ATCACG_L002_R1","MCL1.LA_BC2CTUACXX_GATCAG_L001_R1","MCL1.LB_BC2CTUACXX_TGACCA_L001_R1","MCL1.LC_BC2CTUACXX_GCCAAT_L001_R1","MCL1.LD_BC2CTUACXX_GGCTAC_L001_R1","MCL1.LE_BC2CTUACXX_TAGCTT_L001_R1","MCL1.LF_BC2CTUACXX_CTTGTA_L001_R1"
3.58533931539646,2.19185020730584,0.218873771368921,2.32396579699188,2.89516130416099,2.90947822791352,-2,-2,-2,-2,-2,-2
-1.82864018447221,-2,-1.910214961794,-1.91225727828404,-2,-1.55392567841361,-2,-2,-2,-2,-2,-2
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
-1.94446330188819,-1.94748160538507,-2,-2,-2,-2,-1.62222091018044,-1.87453291206,-1.53802151348552,-1.88896283206406,-2,-2
1.93228228140987,2.53871196336916,1.3877574477005,1.88638595857808,0.668701581694882,0.696518684528667,-0.968147303751319,-0.264302101298127,-0.56828316225324,-1.04374276038066,-1.54192528218201,-0.698334881847216
3.11747799777921,2.61196853809246,2.98510653190162,2.7437735464563,2.87577581433821,2.70359850383089,2.85210703672185,2.55831199514909,3.12704481037353,2.58723287110039,2.80069917489029,3.03238517523028
4.72091475807707,4.61574422158092,5.36755513926473,5.20950144213761,5.11717147592277,5.07284523685173,5.05986038383001,4.23154345377423,3.83563406225631,4.29404535795064,4.0662180488238,4.47329682413461
-2,-1.42663838138696,-2,-2,-2,-2,-2,-1.42645341238947,-1.39230863239489,-2,-1.20895289908708,-1.20179105045149
5.38646260320352,5.60124544574898,5.88687809930101,5.7356474582018,5.43039598885735,5.17222136262777,5.41209333651698,5.51268707829737,5.20282469941534,4.10987483266791,3.2274536921148,3.70711317770087
-1.39518889349893,-1.66262002717914,-0.278309139444847,-1.23791338503598,-1.50505250852048,-1.53956371369233,2.90776235054066,2.78690725433162,2.71757570764456,1.51641959525282,-0.183903140317881,-0.756411987575457
4.33146383661743,4.80782825096052,5.31884804475382,5.52946253421885,5.62448046576957,5.71813262040084,6.20659210318659,6.11805311193434,6.33638301089383,6.35566843529564,6.04185740992025,5.11114747716837
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
-1.72344765116887,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
4.46191119996468,4.30680474230867,3.14416075950629,2.86029119052378,4.07421410686468,4.06763257814966,4.0637318051507,4.22746455286777,4.40648611082975,4.27441212058345,3.31925385915709,3.03999544364149
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
-2,-2,-2,-1.91143753841103,-2,-2,-2,-2,-1.91632889129091,-2,-2,-2
4.77101107244807,4.52052218679615,4.58342419581875,4.97894195637631,5.25044178938993,4.32687077193452,3.43894354771291,3.77059004378975,3.89371603983225,4.34764282583669,4.74609115919754,5.0099047966705
-1.8502599961365,-2,-1.87404482462068,-2,-2,-2,-2,-2,-2,-2,-2,-2
6.33510070776232,6.66478799731914,6.77646786435252,6.27495497133134,5.13873287777405,4.78369272374711,5.85100152937505,4.78705744542153,4.75980127017009,5.08805792466685,3.81268181343529,4.21855510709033
-0.363298284814513,-0.482381881928078,-0.325811725620929,-0.0670896779372399,-0.0274151329206594,-0.0881759911612923,0.138965384664247,0.969809738941427,1.63999718910761,1.7892445162316,2.58245923746906,2.62639898069829
-0.872618682889667,-1.08486334336439,-1.04486032572841,-0.694211784103478,0.754361357606165,0.227756715418945,0.702715504673149,0.572431785181633,1.24065156052743,1.30762470977187,-0.0173362584234066,-0.0702268092863226
-0.645923855572487,-1.36237048410121,-0.550320234154722,-0.320962999984623,1.71006221366265,1.4825818398271,-1.32180464214899,-1.06863623614395,-0.888489167105096,-1.10724129927872,-1.52079681949131,-1.59879122793663
3.48567366985637,3.49061805426365,2.62582241929517,2.80961857986712,3.32787329946874,3.22054117581882,2.96619562995806,3.10349365660428,1.92549869671306,2.10944558883898,0.397328057924183,-0.0450188500402011
3.94603502885899,3.79115795420988,4.02357942411669,3.88747095742748,4.40752470220704,4.18928145400835,5.04009524134858,5.06686987682661,4.75225790641812,4.50791930464716,3.26824343020992,3.06763289140541
-1.39387962759762,-1.81087671599507,-1.8150384268336,-1.52430836071013,-2,-1.68241963732689,-2,-2,-1.35481779660665,-2,-1.43075730414632,-1.64937161048802
2.42429982731363,2.09559846862495,0.67745886472483,0.656974555245016,1.58523102786505,1.72051293857991,1.86247400357833,1.66121008942867,0.455846384731071,0.41845567734799,-0.0522486658509458,-0.271461283695635
3.64025528027858,4.01781434881097,3.67700441788338,2.89570114361907,2.83999070157631,3.11438851909488,4.394535051031,4.61571434094859,3.88076540324288,3.63828892707115,2.99204144593591,2.41658430863571
-1.07475514455152,-1.48941626752253,-1.0247536474884,-1.31192697980105,-1.20280716935216,-1.28597530574915,-2,-1.84213958073473,-2,-2,-1.7616698729204,-2
6.51307082852059,6.43042153968735,6.56014438908691,6.51797773152509,5.55367394264522,4.31591790485888,5.67493442514189,6.07589031510708,5.23282157913453,5.44746026818327,4.49334215707161,4.72502621817063
3.97661886936213,3.99140497249211,3.85454832772192,4.11613321599769,3.5057301506412,2.0715045803465,2.56213919496213,1.88831095701496,1.68126744130963,1.16648491737958,1.9922314820141,-2
1.38276695070379,0.213992612588202,0.220872512206795,0.335685515223505,-0.458018080616482,-0.0754911529743517,-0.781706353976469,-1.15933508590421,-1.45067601298227,0.0312113869066532,-0.358556846191245,-0.374500106850776
1.49570730214909,1.13462548369106,0.220753637012795,0.783640868295486,-0.662542947562103,-0.338334628813783,-1.13574014160999,-1.16929805800844,-0.582737051201393,-2,-0.54208716337473,-1.33166720664284
-1.74112829685388,-2,-1.66704793933445,-2,-1.64333041690576,-2,-1.68898058881579,-1.6510304725976,-1.66693169906114,-1.12347491345342,-1.81596333511934,-1.743892482091
6.06514913906025,5.97275964937626,6.44832201096665,6.34511298316189,6.4698670404076,6.12358459804042,6.8866043616596,6.96719408299706,6.88775869899841,6.58664486137265,4.96430323265789,4.98580670500725
3.02001836703914,3.37881642431652,3.10542861947787,3.23533510453364,3.63041078691982,3.88348030183447,3.78863882741471,3.80050157605353,3.31017070233517,3.58247877028778,2.55372150519851,1.7849976358681
4.69256340335867,4.72230652804027,5.10740087658568,4.97400897132289,5.29310058129822,5.2712768131702,5.91972949236169,5.73069474323231,5.36579977304281,5.31286062730477,5.07319173576009,4.94926948079195
2.29228395230075,1.81964379345017,1.38181267022907,1.35355541113703,1.56802522162343,1.70138667472893,-2,-2,-2,-2,-2,-2
1.93126354361313,2.34207726894488,-0.107651474711116,-0.118205019221231,0.193166253848599,0.391913603582281,0.460794075162882,0.646811147467116,-1.01171366682748,-0.718486567575755,-0.358443600794183,-0.7436139540117
-1.23686034612796,-1.46786863223463,-1.87029732344524,-1.92896776836439,-2,-1.90189770193139,-1.76367809925367,-1.87736605677176,-1.87034580246607,-1.4172685445801,-2,-2
-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2,-2
4.27726648564075,4.26476210082813,2.67754831489768,3.53010719462262,3.17168306877568,2.0878607348704,-0.53292097357675,0.256724369236377,-1.31570000215896,-1.12660673576051,-0.711410178308856,-0.619941221722727
